persona_id,honest-humility,emotionality,extraversion,agreeableness,conscientiousness,openness to experience,altruism
efebdeaa-927c-4e5a-95d4-084f6ed04688,3.25,3.25,2.75,3.0,4.25,3.25,4.0
ec80609d-6a0b-43be-a2d9-19d69b483237,3.5,4.0,3.25,3.75,4.0,3.75,4.25
2c70dd4c-9bb9-4a97-8af6-eac2c6665720,3.5,3.333,2.75,3.75,4.0,3.333,3.75
f9e826a5-e390-4049-81b9-bded768e6e63,3.5,3.5,2.75,3.5,3.75,3.0,4.25
8d5b8c9e-cd2b-429b-88de-55138c3aadb8,3.75,3.0,3.0,4.0,4.0,3.0,2.333
6bc3bda4-81f5-4929-b23e-e4f6e0a1786c,3.25,3.25,2.75,3.25,4.0,3.25,4.25
d67c475a-5ac7-4e29-b7b2-7d7d1cabfd97,3.5,3.5,3.25,3.75,4.25,3.25,4.25
6bba39da-49eb-417a-a7fd-c9279d8ba6f7,3.333,3.25,3.0,3.5,4.0,3.25,4.0
073e2968-fcda-4e16-993e-a92ec46487e7,3.5,3.25,2.667,3.0,4.0,3.25,3.75
34509d84-7695-44d1-8874-20b53837388e,3.0,3.5,3.0,3.25,4.0,3.0,4.0
94139806-1bb0-4e3d-b004-38afbae3e884,3.5,3.75,2.25,3.25,3.5,3.333,3.5
76f43036-e5d2-401e-afc2-10aabc4d2da2,3.25,3.25,2.667,3.0,4.0,3.0,3.75
c33c6720-6a12-4068-9546-9114111f53bc,3.5,3.25,2.25,3.5,4.25,3.0,3.5
5565cbfb-60d0-4a5c-a46d-d45fe242234c,3.25,3.25,3.0,3.333,4.0,3.0,4.25
b49aea02-508d-4662-a380-d3e01a5f919f,3.5,3.333,2.0,3.25,4.0,3.25,4.0
b0fd2048-3c93-4eef-9f54-e397c7c9f281,3.5,3.5,3.667,3.5,4.0,3.25,4.25
f52ea39e-ad93-4039-89fa-416f71fb60ca,3.5,3.5,2.25,3.75,4.0,3.25,4.333
7b0cfae2-1d9d-40a9-b085-cde04e392fa7,4.0,3.333,2.667,4.25,4.25,3.0,4.25
8eec3c78-226f-4bdc-b252-fa74b7b4c43d,3.25,3.0,2.75,3.75,4.5,3.333,3.75
7fb42464-d628-4643-bd2b-57d23372d02b,3.5,3.25,2.25,3.0,4.25,3.0,3.75
a8894df9-699b-44e4-b2ae-8f56b0fb4175,3.25,3.25,2.667,3.5,4.0,3.333,4.0
59e370ce-0bf6-433b-8ee8-cea32b94785a,3.5,3.25,2.75,2.5,4.0,3.0,3.75
9fd43368-da6a-42bd-a53d-61ad8938a423,3.5,3.25,3.0,2.5,4.0,2.75,3.5
7dcb8fec-dcfd-4a01-909e-e240720d2015,3.25,3.333,2.25,3.75,4.25,3.0,3.75
782f13f4-0d98-41b4-a170-a2839dc6be70,3.333,3.25,2.25,3.5,4.0,3.333,3.75
72df07b1-024b-438f-900f-34f8b9484cef,2.5,3.25,3.0,3.25,4.0,3.0,3.75
3a8b070d-c1ac-4a16-ac09-ecd88c62b168,3.75,3.25,3.667,3.5,3.75,3.25,4.25
eb6c399e-ea79-49cf-bf21-b0d998440364,3.5,3.25,2.0,4.0,4.5,3.5,3.75
14245c56-abf4-4973-b246-fb60202f47d5,3.25,3.0,2.25,3.25,4.0,3.25,3.75
e0c0db95-ea21-4b5e-a5a0-e66a07ace598,3.333,3.25,2.25,3.0,3.0,3.25,4.0
777bae8f-d546-4dfb-8b52-c21004252107,3.5,3.25,3.25,3.75,4.25,3.25,4.0
d8644bc7-a91d-4de4-a811-f7f821e61d27,3.5,3.25,2.75,3.5,4.0,3.25,3.75
8435ab48-1e1c-41a5-823d-602064f112a4,3.25,3.333,2.5,3.5,4.0,3.0,4.0
df10a419-4ef9-4758-9261-a67d5d5d7d79,3.5,3.333,2.75,4.0,4.0,3.25,4.25
a6d4f957-b436-4f91-8a2f-8a0eeaaf8930,3.5,3.25,2.25,3.25,4.75,3.0,3.0
be1886e4-1b4a-4d44-bdb7-a8096a1fe482,3.5,3.667,3.0,3.5,4.25,3.25,4.25
f13f29ff-af19-4bf8-8dd7-f4a99b355fd7,3.75,3.75,3.25,3.75,4.25,3.25,4.25
4adbc846-2f9a-4a08-8a30-c96c676b77e8,3.667,3.0,2.5,3.25,4.0,2.75,3.5
29fea361-f548-4429-91b8-28e2c0843f2a,3.5,3.5,2.667,3.5,3.75,3.25,4.25
373e47d3-97f8-480c-91da-af24d02e1783,3.25,3.5,2.5,3.75,4.25,3.25,4.0
a4750b42-fab2-4b80-ba75-b4c127a32027,3.5,3.25,3.333,3.25,4.0,3.25,3.5
73e47376-6f74-42d7-975c-e623bcd75915,3.25,3.5,3.75,3.5,4.0,3.25,4.25
fe7af5ad-4dcc-4fc7-b32a-f5637152fc45,3.25,3.5,3.25,3.5,4.0,3.25,4.25
1644d21d-1e6f-4c89-85c1-dba6c4f294fd,3.5,2.75,2.75,3.25,4.25,3.0,3.5
8b9a6baa-f4df-432e-b90a-84fd3fa73598,3.333,3.667,3.0,3.25,4.0,3.0,3.25
769f36b9-5360-46ac-977e-f9ae7c191fa4,3.5,3.25,3.333,3.5,4.25,3.25,4.25
ff59762c-1f6c-45ae-8223-8ba4a0c65801,3.5,3.25,2.0,3.5,4.5,2.75,3.25
2d89b4ed-d7c0-4df9-a281-da4134ec5db4,3.667,3.333,2.0,2.75,3.5,3.333,4.0
792b5e17-5a2e-481a-b529-23eafe937d4b,3.5,3.0,2.0,2.667,4.25,3.333,3.25
b0e6dbf6-18b5-4f49-8f94-aa1ddbc4c237,3.5,3.25,3.0,3.75,4.0,3.333,4.25
0a5c7cf4-3476-4744-93db-17ed88e8c39e,3.25,3.5,2.25,3.25,4.0,3.0,3.5
0777685a-b51e-428c-8bcd-6a391641ce32,3.5,3.0,2.25,3.0,4.0,3.333,3.75
0450ca4f-24dd-44a1-93b9-f5d62842da37,3.75,3.75,3.0,3.0,4.0,3.25,3.75
6efa5495-1e99-4118-84d7-22ef2eb25485,3.5,3.25,2.75,3.25,4.0,3.25,3.75
a887b849-0d04-424b-a7ff-6aac5f81be7d,3.75,3.75,3.0,3.5,4.0,3.25,4.0
9c2ac6c3-bcaf-4a54-900e-d3917e39b0ef,3.0,3.5,3.5,3.25,4.0,3.25,3.75
b1a0f61f-be78-48c1-bbf3-194a1347c275,3.25,3.25,2.25,3.75,4.0,2.667,3.75
44b20f70-d6ee-4ffa-9b69-40b27a86753f,3.25,3.25,3.0,3.25,4.25,3.25,4.0
c845bfe5-7c91-4bf8-9900-03f1a7b8ce86,3.5,3.25,3.0,3.5,4.5,3.25,3.5
f5871423-deab-4cdc-9769-998b42cf15c1,3.5,3.25,3.5,3.0,4.25,3.333,3.75
30e5a7f0-2bb6-4ab1-a741-1d23fffe53ff,3.5,3.25,3.0,3.25,4.0,3.0,3.75
066a4e13-8a12-4fbd-b60e-e21c8cc966fe,3.75,3.25,3.25,3.75,4.0,3.333,4.25
4da36d0b-79e5-4cbc-8875-81f2494fa985,3.0,3.25,2.75,3.5,4.0,3.25,3.5
7c233e56-9137-4335-80fb-5369aba19947,3.25,3.25,2.5,3.5,4.25,3.0,4.0
ee335dcf-1d34-44df-b53a-66c445ecadb7,3.25,3.333,3.0,3.75,4.25,3.25,4.0
1a21c39f-f69c-4c01-9806-209d8a5fbeb8,2.75,3.0,2.25,2.0,3.75,3.25,3.0
4f0c44b0-2db1-4e76-b984-1a59dc2f87bf,3.25,3.75,2.75,3.0,3.75,3.0,3.75
47cf6423-cee9-4133-a015-64367cb06232,3.333,3.25,2.667,3.75,3.75,3.333,4.0
633a15db-2f22-4634-bb87-100fd9408649,3.25,3.333,2.75,4.0,4.0,3.25,4.25
de55d91f-4246-4104-bc58-880a8383b83f,3.25,3.0,2.25,4.0,4.25,3.25,3.0
6ba0a6f3-91cb-4e1f-b682-b5d975e9bd8c,3.25,3.25,2.25,3.0,4.0,3.25,3.75
344e515a-26f3-49b8-b7f5-0394caa69f6f,3.25,3.333,3.0,3.25,4.25,3.333,3.5
055e6120-18c1-4af1-8922-b138f66e0525,3.25,3.25,3.333,3.25,4.25,3.333,3.75
a536e988-20a1-43d0-a877-ed1441bef4d7,3.667,3.75,2.5,3.0,4.25,3.333,3.75
17d8fbb6-0966-427f-b6e3-59ad68edeb70,3.5,3.5,3.0,2.75,4.25,3.0,3.5
739c6337-d18d-41c7-895b-47b7a3d6f427,3.5,3.333,2.25,3.25,4.25,3.0,3.5
aa091436-5d96-4b49-ac01-04bc5c772308,2.75,3.5,2.75,3.0,4.25,3.25,3.75
05f631f0-5829-4157-8bd5-c7f488f1e7e4,3.25,3.25,2.75,3.333,3.75,3.25,3.75
fa9d075f-d9c6-495c-b740-85a3cd7551dd,3.0,3.333,2.25,3.333,4.0,3.333,3.75
ba13f7a5-f355-44bb-a1e9-9575b4d73dcf,3.75,3.25,3.0,3.5,4.25,3.333,4.25
4bf9d7bf-bf37-4326-bf73-56efefe963e0,3.0,3.25,2.75,3.5,4.25,3.333,3.75
b1a1b7fa-0a4a-42d0-8462-e646ba7991ad,3.5,3.25,2.667,3.0,4.0,3.25,3.5
3f1e8b28-075d-4103-9c5b-3f29626591a1,3.5,3.25,2.5,3.5,4.0,3.0,3.75
e4522b5f-f5dd-41fa-a9ef-d577ef1185d7,3.5,3.25,2.5,3.5,3.75,3.0,3.75
c5dd21f0-fa23-4ff1-9a19-fd49b3d8d504,3.25,3.25,2.0,3.75,4.5,3.25,4.0
8438f2c8-458c-4a24-8a85-870b654ba50b,3.667,3.25,3.0,3.75,3.75,3.25,4.25
912ef31e-802f-4234-8ecb-c6fcc49b9ecb,3.5,3.25,2.5,2.75,3.5,3.5,4.0
5116f785-5dcc-4c2e-90ce-c8fed50d549a,3.75,3.25,3.0,3.5,4.0,3.25,4.0
6d836e1c-8bd4-48c4-b94c-4d236f706f06,3.0,3.5,3.0,3.25,4.25,3.25,4.25
c048622c-f397-48a9-bba4-6fc7d83135c2,3.5,2.5,2.75,2.5,4.25,3.0,2.333
1053c438-e452-4642-a8d3-71c118cdf3b5,3.5,3.25,3.0,3.5,4.25,3.25,4.0
d4bd6a54-d9ff-492d-b8dc-65fcb302d5e1,3.5,3.25,2.333,3.333,3.75,3.0,4.0
f6e52887-e872-4bc5-8b68-9bbab1b8e333,3.333,3.333,2.25,3.0,3.5,3.0,3.333
0cfd4731-6a44-40d8-a525-3061d9daeeed,3.0,3.25,2.5,3.25,4.0,3.25,2.5
4a5d0374-80a0-4eac-bff4-e4e67f9ed1d7,3.5,3.25,2.667,3.25,4.0,3.25,3.75
757c0e06-690e-4e68-9d7d-85918a128527,3.0,3.0,2.667,3.25,4.25,3.25,3.5
3513108b-3b10-4e83-bc08-97cf2176ea5d,3.0,3.25,2.75,2.75,3.75,3.0,3.5
aa6c61ba-4593-49ae-b9f0-63f2ad57defd,3.333,3.25,2.667,3.0,4.75,3.333,3.5
1b56751d-5082-4c2d-8cbc-fb1cb857bdb1,3.5,3.25,2.5,3.5,4.0,3.0,4.0
ad86697e-c609-4b08-9911-3a18aa3c3512,3.25,4.0,3.0,3.25,3.75,3.0,4.5
713cef12-de96-4918-97e5-20c260a681a9,3.25,3.25,2.75,3.25,4.25,3.0,3.75
d6ef83eb-7ad5-43de-9afb-5e829b364826,3.5,3.25,2.0,3.25,4.0,3.0,3.25
911a48a7-2ee3-494c-94a8-56fdc79fbc9c,3.25,3.25,2.75,3.5,3.75,3.333,4.0
97c50eae-2f0f-475c-b84e-1a4fdd45663e,3.25,3.333,2.25,3.25,4.25,3.0,3.5
52359c67-b9a4-4313-9ead-cd841f4aad63,3.0,3.5,2.5,3.0,4.0,3.333,4.0
837da94b-beb0-4d7d-90c0-a0e67fb217c6,4.333,3.5,3.0,3.0,3.75,4.0,4.0
bb270bb0-eccf-4fa2-b1af-a86571b423f5,3.667,3.333,2.25,3.75,4.25,3.25,4.0
f94320ff-083a-44c1-acab-ab3d1cbe6ad9,3.5,3.5,3.333,3.5,3.75,3.25,4.25
38c52b25-fadf-4f0a-b953-2e8e5d0f6fe6,3.5,3.25,2.75,2.667,4.25,3.0,3.75
03103518-90cb-47e5-bc48-7a4457081ebb,3.667,3.25,2.75,3.5,4.5,3.333,4.0
bfc6de2c-e43b-4829-ae14-a464514df0fa,3.5,3.25,2.75,3.25,4.0,3.0,4.25
bea74e5d-4362-4fef-ae2f-960f938b9b0a,3.75,2.75,2.0,4.0,4.25,3.0,4.0
2c337f9c-8a6a-46a1-9d2a-30b7c0dd089e,3.25,3.333,2.75,3.0,4.0,3.25,4.0
60248e54-caa0-4414-99a6-fba382d8d086,3.667,2.75,2.25,3.5,4.25,3.25,3.75
c733df38-9d58-4744-9b89-8eb89d5b91e8,3.5,3.25,2.75,3.5,4.0,3.25,3.25
9076d8af-cde9-4398-b716-9aec8143a542,3.5,3.25,2.75,3.0,4.0,3.0,3.75
039c7a30-1169-49b9-b3bf-c6ab42625b5c,3.5,3.5,2.75,3.0,3.5,3.25,3.75
f30b35da-8c27-43ca-94b8-f17e5297fe01,3.5,3.25,2.25,3.25,3.75,3.25,3.75
17148a9a-e802-4835-8a13-d6ca7501ff74,3.0,3.25,3.0,3.5,4.0,3.333,3.25
34bc0b85-d98d-438b-bfd1-1a6520619c95,3.5,3.75,4.0,3.5,4.0,3.25,4.5
fbcf9d5d-4709-4bb0-b5e9-ccc07d777a5f,3.5,3.333,2.0,2.667,3.75,3.25,3.75
7eec1c8d-c8bf-42e7-8eed-28672de2f1c6,3.25,3.25,2.75,3.25,4.25,3.0,4.0
58f4254a-a2be-4784-b4e1-4084ce1fdb6d,3.75,3.0,2.25,3.0,4.0,3.0,3.75
24b2a94d-d727-4825-a742-8cf778fbe870,3.25,3.25,2.75,3.75,4.0,3.0,3.75
7c7c79b4-7443-4ac7-82af-d6faa365d1cb,3.0,3.5,3.25,3.0,3.0,3.25,4.25
9a275414-698c-4a84-bc5e-46ca5ec9c268,3.667,2.75,2.75,3.75,4.25,3.25,4.0
4193f7f0-9379-46a6-891a-97a88ef8858e,3.25,3.25,2.75,3.5,4.25,3.25,3.75
50c1d609-8558-4f3a-9baa-91798891c480,3.5,2.5,2.5,3.25,4.5,3.0,3.5
86e3254b-78de-487a-bf58-e87a6fe70a69,2.667,4.0,3.0,3.5,3.75,3.25,4.0
b749df75-4ff2-4714-9d63-f45d276f5246,2.75,3.667,1.5,2.75,4.0,3.333,3.5
5263a58e-8237-4e13-924b-b47dc9e0bd63,3.5,3.25,2.75,3.5,4.25,3.25,3.75
4b990a10-a869-4751-b66c-edec87e97863,3.5,3.25,3.0,3.25,4.25,3.25,3.75
23bad8a8-7662-4523-b2d9-83d98cc12a28,3.25,3.25,2.0,3.333,4.0,3.0,3.75
a89fec24-d549-4e6c-9ddd-24fafff12e8c,3.667,3.667,3.25,3.75,4.0,3.25,4.25
3b0a2f16-def9-470b-ab9d-79cf626fa67d,3.25,3.667,2.25,2.667,4.0,3.333,3.75
1d5d6f3b-fe5f-4e3a-beaa-82e7a089a9d7,3.25,3.25,2.25,3.0,4.25,3.333,4.25
2eea8cf2-f5f4-4298-926c-47dfc513d402,3.75,3.25,2.0,3.75,4.0,3.0,3.5
764c9f29-f82c-4468-baee-ad9061bb8130,2.5,3.25,3.0,3.5,3.75,3.25,4.0
6db2c67a-8546-48b5-bd7b-82162cc80c33,3.0,3.25,2.0,3.25,4.25,3.25,3.75
ca5caa3a-f886-417b-9771-d19e565e5112,3.5,3.5,2.0,3.75,4.0,3.25,3.5
323d7823-564e-4b0e-8c3d-76db7dfea54f,4.0,3.25,2.75,3.0,4.0,3.333,3.75
95299b10-20e2-496c-be78-a173d76133c0,3.5,3.5,3.0,3.25,4.0,3.25,4.0
cf274d96-eaaa-4b35-ac4b-d3c9ba30b4f7,3.667,3.5,3.25,3.75,3.5,3.25,4.25
972d3eba-d352-4658-aa68-7b8643a3cf46,3.0,3.5,3.333,3.5,4.25,3.0,4.25
8eba94ec-073f-43c1-aeb8-e37fd05a13d9,3.0,3.25,3.0,3.5,4.25,2.667,4.0
fe557b18-fd04-4792-b974-13a4ca3a8bd1,3.75,3.25,3.0,3.5,4.0,3.0,3.75
41097ead-555f-41e6-babf-d44c10064c12,3.25,3.0,2.25,4.0,4.0,3.25,3.75
92369e37-b17f-442a-aeb6-ba8fb1db83e6,4.333,3.5,2.5,3.0,3.5,3.0,4.25
26a75d23-e398-4ddf-9f6d-52391755816f,3.5,2.75,2.667,3.25,4.0,3.333,3.5
ffeb207e-c390-4213-95a3-091dba61d94a,3.0,3.25,2.25,3.5,4.0,3.25,3.75
370b0664-8fcb-4499-bd94-628ab1430382,4.0,3.75,2.5,3.0,4.0,3.0,4.0
3208cb5e-fcd8-45e5-a269-0fb51f026ca4,3.333,3.333,2.5,3.0,3.5,3.25,4.0
5ecd4820-0683-49c9-b750-b28ebc141740,3.5,3.25,1.75,4.25,4.25,3.0,3.75
7bcf6576-fba7-45cb-af48-0127fcf0d43d,3.25,3.25,2.75,3.75,4.0,3.0,4.25
1b380788-aeae-48cb-abb3-15c02ff37436,3.25,3.667,2.25,2.667,4.25,3.25,3.5
42700dd4-b49c-443b-b60b-571af20daa3a,3.25,3.25,2.5,2.75,3.5,3.0,3.5
daa648b8-39d5-466f-a03a-ed6c2a4a2249,3.667,3.5,3.25,3.75,4.0,3.25,3.75
e3fc995f-e766-469a-b28c-444f639aceb1,3.5,3.25,3.0,3.0,4.25,3.333,3.5
4b489756-7eb0-4065-a433-0e406314f971,3.75,3.0,3.0,3.5,4.25,3.25,3.5
86e73694-36ef-43d7-8874-1f43aeac4247,3.667,3.5,3.0,3.25,4.5,3.5,4.25
6fe217c2-3c94-437b-be78-9597f1de6ffb,3.25,3.5,3.0,3.5,4.5,3.0,3.5
8132ea28-80fb-4b4b-a19e-fb1c2f148328,3.5,3.5,2.25,3.25,4.25,3.333,4.25
b4889222-8b69-43d2-9eb5-1f89c60a511a,3.667,3.25,2.5,3.5,4.25,3.333,3.75
f5f1a8dd-bd31-4239-a1ee-d7eb66b2b982,3.667,3.25,2.0,3.5,4.0,3.25,4.0
54fb6665-2601-4ee0-a52a-0685c6926be9,3.0,3.0,2.5,3.25,4.25,3.0,3.25
ba8f316b-c688-484a-bf7f-5a03ecbbeee8,3.5,3.5,2.25,3.25,4.25,3.0,4.0
3216e45a-e460-479b-a05f-4c4e6238211a,3.667,3.25,2.5,3.333,4.25,3.0,3.5
e5fde19e-7a20-483d-b781-4000fcacc4b4,3.333,3.5,2.5,3.25,4.25,3.0,3.5
7721e7f4-138c-4d43-9492-fc46a10c1b06,3.25,3.25,3.0,3.25,4.25,3.0,3.75
9084904c-55a7-4215-8351-35fa04202ded,3.25,3.25,2.0,3.5,4.25,3.25,3.75
2863f8ba-d2f7-4355-9a58-4dbb8cdbc29a,3.5,3.25,2.5,3.25,4.0,3.25,3.5
acd3e773-239c-4301-92e0-24e8fe551060,3.5,3.5,3.0,3.25,4.25,3.0,4.25
b91d0805-dfaf-4153-a724-f578c499b5ff,4.0,3.25,3.0,3.75,4.25,3.333,4.25
3af51296-f29c-4ccc-a654-7a14efc7b684,3.75,3.5,2.25,2.5,3.5,3.333,3.25
038c4cf5-9936-4ea6-927c-64ef5bb30de8,3.5,3.25,2.25,3.25,4.0,3.25,4.0
3cd54577-e242-4cbb-b811-93a93115698a,3.5,3.25,2.25,3.25,4.25,3.25,3.75
a8b6c3c6-ea64-4cac-a756-147c412389e4,3.667,3.25,2.0,3.75,4.25,3.25,4.0
82d46e6c-1482-4dd4-bd0b-c28071de4631,3.0,3.0,2.25,3.5,4.25,3.0,3.75
05671702-7736-443f-83db-81445be0fd50,3.333,3.75,2.25,3.25,4.25,3.0,3.75
8603d4d8-18ed-49a6-bc7c-2d49910cc6b5,3.0,3.25,2.25,3.25,4.0,3.0,3.5
6fb8bdb5-37b4-4db6-919b-8c94274617ee,3.25,3.25,3.0,3.25,4.25,3.25,3.75
34e2a1fc-b421-4c9b-878a-0253e7088053,3.5,3.5,2.25,3.25,3.5,3.333,3.75
ce46cca8-6d23-40e2-8fe0-3b251da324e8,3.25,3.5,2.75,3.0,4.0,3.25,3.75
fdafb854-8379-49d5-bb4a-7a5f0afcfe0c,3.5,3.5,2.75,3.0,4.0,3.0,3.5
3f30ea5d-923b-4714-9652-c45f2d2d5d0a,3.25,3.0,2.25,3.25,4.25,3.0,3.75
bae6772f-9169-46d9-b4d4-1895b4e5a1b5,3.5,3.25,3.0,3.5,3.75,3.333,4.0
c3fc7b67-6017-4367-8fa2-0d725a9c7f6e,3.0,3.25,2.5,3.75,4.0,3.25,3.75
f1ba1e29-3022-4a28-aa7f-cd67afe15fdb,3.5,3.25,3.0,3.5,4.25,3.0,3.75
2952cc49-3acf-46e5-9591-a93eff255a62,3.5,3.25,1.75,3.333,4.0,3.25,3.75
02535ad9-f593-4306-b128-ab8613dbd7b1,3.25,3.25,3.0,3.75,4.0,3.25,4.0
8160c04a-8549-4bbe-a6b0-90970f4001a7,3.333,3.25,2.75,3.25,3.75,3.25,4.0
d5720320-7c2c-4883-bede-8a19e7caf818,3.25,3.25,3.0,3.0,4.25,2.5,3.5
848df57f-b3e7-470e-b44d-b465e51b59e1,3.75,3.5,2.75,3.25,4.25,3.333,4.25
d98b8f8d-0aea-4519-bcc8-f954fba0804a,3.25,3.25,2.333,3.0,4.0,3.25,3.75
0b7c0e1d-4514-4844-8b5b-87de390739d3,4.0,3.25,2.5,3.0,4.25,3.333,3.5
416275af-7b72-41ad-a9ac-1ac96a639aa3,2.667,3.75,2.75,2.0,2.5,3.25,3.25
b4100066-7a60-44d6-ae68-9dfb79d01371,3.333,3.5,3.25,3.5,4.0,3.25,3.75
a7765001-ede2-4864-95df-fcdc6c213b0b,3.667,3.5,2.75,3.5,4.0,3.25,3.75
aa1582df-06aa-4a8a-aedc-d91fb944cc89,3.75,3.5,3.5,2.75,3.0,3.5,4.25
1d324a87-8709-463d-97d1-d43ead17eb3c,3.75,3.75,2.5,3.0,4.0,3.5,4.0
d296e709-5a10-4703-895d-a3ac3d35c4d3,4.0,3.25,3.0,4.0,4.25,3.25,4.25
2fc1e36d-371b-4c61-992d-358fbd30f7b2,3.5,2.75,3.0,2.667,4.0,3.0,3.5
d19d20f9-6ac3-4899-811d-c95e63b91a09,3.667,3.25,3.333,3.25,4.25,3.0,4.0
49977439-c53e-48c9-8756-b6893d1fc4d4,3.667,3.25,3.5,3.25,4.0,3.25,4.25
53fac147-a5ba-458b-9a55-93fadc5eacb6,3.75,3.75,3.0,3.25,3.5,3.25,4.25
a419cd91-8ba5-4523-90f3-5e24b6a2e3f7,4.0,3.25,2.25,3.5,4.5,3.0,3.667
80552c33-e4dc-4be0-8976-e2251d2de922,3.333,3.25,3.0,3.5,4.0,3.25,4.0
bdd75ef7-384f-49e0-b133-4f35e9f252f3,3.333,3.25,2.75,3.75,4.0,3.25,4.25
df5503d4-0f27-41dc-afc0-c63a62bcfecd,4.0,3.5,3.25,3.5,3.75,3.25,4.25
64e543d6-cbb2-43fc-8fc6-2f4dcc31cc1d,2.5,3.25,3.0,3.25,4.25,3.0,3.75
36cbd052-d2de-4e9a-8d24-082407ae4d0a,2.5,3.5,2.25,3.75,4.5,3.0,3.75
2ca1d25f-7e22-4804-8093-964f11397d86,3.333,3.25,3.333,3.5,3.75,3.333,4.0
b3cf1b42-1405-49de-8fa1-06653a428359,3.5,3.25,3.0,3.5,3.75,3.25,4.0
0b1cc491-4a9a-498a-8621-1154d52ea6e4,3.5,3.75,3.25,3.5,4.0,3.5,4.25
76c86da2-c04b-4f09-bc06-4f43fc9cc3fe,3.5,3.25,2.75,3.5,4.25,3.25,3.75
97ef439e-42df-4e81-b40d-ce815b086b5b,4.25,3.25,3.0,3.5,4.0,3.25,4.0
ca0cd6ed-2645-44cd-a7ca-a7e797b0828c,3.75,3.5,3.5,3.0,2.75,3.75,4.0
c4f58aa6-1de8-4c5d-b8c8-60fbcad0edb6,3.75,3.5,2.25,3.0,3.75,3.0,3.5
b3dd1b49-c773-4833-9253-bb433339e99f,3.75,3.25,3.0,3.5,4.0,3.0,4.25
2b4fc21b-ab3c-4eaa-9c5c-32635b0f99bc,3.25,3.25,3.0,3.25,4.0,3.333,4.0
8890db9a-3ce4-41c5-86b9-85a030308e62,3.667,4.0,3.0,3.75,4.25,3.25,4.333
78b45253-cfe2-4a70-8cf4-da0bce163fcb,3.5,3.75,2.5,3.75,4.25,3.25,4.25
b8d01e3c-3bed-411d-9426-ea7d3d56268c,3.25,3.5,3.0,3.5,3.75,3.25,4.0
b85bdd11-2d2f-4d4c-8cfb-b623f02edd9e,3.333,3.25,2.667,3.5,4.5,3.0,4.0
2d4e5072-5c6a-4b0e-b5c4-9fd1e2efa47c,3.667,3.75,3.0,3.75,4.0,3.25,4.25
1fd52814-62e2-49f0-85ea-b466e2615ee2,3.333,3.0,2.0,3.333,4.25,3.25,3.75
897ea35a-3a2b-495d-a310-1dfe1f09801b,3.5,3.25,3.0,3.0,4.0,3.333,4.0
38abc76e-a843-4ad9-8f15-0d0c2a0a6672,3.5,3.75,2.75,3.5,4.0,3.25,4.0
09110dba-b444-4e48-beae-fd1bdbb4e198,3.667,3.25,3.0,3.25,4.25,3.25,4.0
350ff840-e344-49fe-95f3-b86b8c964d47,3.5,3.0,2.25,3.75,4.0,3.0,3.75
66cf2987-6dac-4c2a-94ef-2cefc8162c5d,3.0,3.5,2.5,3.5,4.0,3.25,4.25
1a5197a7-f333-4d42-b487-8fba9ce96eca,3.5,3.75,2.0,3.0,3.0,3.333,4.0
325a6f7f-b1b3-4056-aa2e-48d14f6f7260,2.667,3.5,2.75,2.75,3.5,3.25,4.0
12583df9-9b65-43b7-83b3-b29b6efffb39,3.5,3.25,3.0,3.25,4.25,3.25,4.25
