,,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",conscientiousness,prudence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1083333333333334,3.15,3.0083333333333333,3.0083333333333333,3.4583333333333335,3.425,3.0416666666666665,3.1416666666666666,0.18198301044865156,0.1925330244847397,0.04564354645876384,0.045643546458763826,0.2791870381999325,0.1628146820457393,0.09476225544736293,0.14208019428898389
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",emotionality,anxiety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.966666666666667,2.975,3.0083333333333333,3.0083333333333333,2.8666666666666667,2.908333333333333,3.058333333333333,3.05,0.08643647591044012,0.07628214415734119,0.045643546458763826,0.045643546458763826,0.15720255620746415,0.15373697496459454,0.12600173324843275,0.10170952554312157
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",emotionality,dependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.1166666666666667,3.158333333333333,3.15,3.283333333333333,3.2916666666666665,3.15,3.3,0.2706951460018548,0.1572025562074642,0.22247949666605585,0.12456821978061008,0.24330105281081416,0.18665999577571113,0.16866616691580139,0.2576418256899053
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",emotionality,fearfulness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1166666666666667,3.1333333333333333,3.0,3.025,3.058333333333333,3.0416666666666665,3.158333333333333,3.2083333333333335,0.15720255620746412,0.18257418583505536,0.0,0.07628214415734119,0.1819830104486516,0.16192981309140106,0.15373697496459454,0.16192981309140111
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",emotionality,sentimentality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3666666666666667,3.341666666666667,3.158333333333333,3.2416666666666667,3.433333333333333,3.433333333333333,3.216666666666667,3.158333333333333,0.19401978806534023,0.24107636983320035,0.1537369749645946,0.0799604787436864,0.23610829387546223,0.20692049669866677,0.14283661593084152,0.12253312946339022
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",extraversion,liveliness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4166666666666665,3.2916666666666665,3.275,3.2333333333333334,3.625,3.466666666666667,3.408333333333333,3.475,0.2110455635284889,0.17473296539406152,0.1779916697004627,0.1728729518208802,0.18277081937167403,0.21509153357603822,0.17959885057103459,0.12016511628760565
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",extraversion,sociability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2333333333333334,3.175,3.15,3.1666666666666665,3.425,3.3333333333333335,3.3333333333333335,3.175,0.27016384981548963,0.2192266973422402,0.12456821978061001,0.16522363806281665,0.20916500663351903,0.16522363806281665,0.22102166118424613,0.2469643280118503
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",extraversion,social boldness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.025,3.1,3.0166666666666666,3.0083333333333333,3.158333333333333,3.175,3.025,3.0166666666666666,0.07628214415734122,0.14081046199376154,0.06342703292561555,0.045643546458763826,0.23196437498971215,0.16281468204573932,0.07628214415734119,0.06342703292561562
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",extraversion,social self-esteem,0.0,0.058333333333333334,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,3.7,3.6610333333333336,3.066666666666667,3.058333333333333,3.5083333333333333,3.4638333333333335,3.216666666666667,3.325,0.10170952554312157,0.1895794771617421,0.130207614940547,0.12600173324843267,0.07996047874368649,0.0749031942292658,0.10854312136382618,0.1628146820457393
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",honest-humility,fairness,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,4.955533333333333,4.85,4.975,4.958333333333333,5.108333333333333,5.2,5.358333333333333,0.1198658253713461,0.7261485424808938,0.15536386656646634,0.20075289322430948,0.16192981309140111,0.12600173324843286,0.13771534860493695,0.15651557889482318
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",honest-humility,greed-avoidance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5416666666666665,3.575,3.3583333333333334,3.4583333333333335,3.6,3.533333333333333,3.308333333333333,3.35,0.2549791517283167,0.1489908583171094,0.1565155788948231,0.11528325934435354,0.2593094277313204,0.25200346649686545,0.2244085457425783,0.2421170990557511
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",honest-humility,modesty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.575,3.441666666666667,3.2666666666666666,3.2916666666666665,3.55,3.575,3.3916666666666666,3.5166666666666666,0.20916500663351892,0.2338151839164537,0.15992095748737292,0.09476225544736294,0.24033023257521127,0.23807779082215685,0.15651557889482315,0.18491998891101674
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",honest-humility,sincerity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,3.2416666666666667,2.9583333333333335,3.0833333333333335,3.5166666666666666,3.475,3.425,3.5083333333333333,0.26587526243036197,0.20217921946038178,0.1619298130914011,0.17778975055468987,0.1302076149405469,0.20075289322430953,0.22884643247202344,0.2665499025974548
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",openness to experience,aesthetic appreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,3.575,3.275,3.4,3.7333333333333334,3.591666666666667,3.591666666666667,3.6083333333333334,0.12456821978060989,0.13374577015548103,0.10064447498411219,0.23304579984969964,0.21708624272765237,0.13901335419188388,0.24107636983320044,0.1934635906819168
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",openness to experience,creativity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.158333333333333,3.2416666666666667,3.65,3.7083333333333335,3.316666666666667,3.2083333333333335,3.7583333333333333,3.725,0.1390133541918839,0.12253312946339022,0.2754306972098738,0.2632958652232848,0.130207614940547,0.09476225544736296,0.07996047874368649,0.21121569299064225
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",openness to experience,inquisitiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,3.2916666666666665,3.025,3.05,3.316666666666667,3.3583333333333334,3.316666666666667,3.2583333333333333,0.2210216611842461,0.17473296539406144,0.07628214415734118,0.1210585495278756,0.21708624272765237,0.19346359068191674,0.24506625892678055,0.16716878386484293
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",openness to experience,unconventionality,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,3.6333333333333333,3.6,3.283333333333333,3.3333333333333335,3.75,3.4861,3.2416666666666667,3.316666666666667,0.15720255620746404,0.16866616691580144,0.15720255620746415,0.15161960871578065,0.19695964928958384,0.15642478637704274,0.22247949666605593,0.2450662589267805
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",agreeableness,flexibility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.475,3.5166666666666666,3.35,3.316666666666667,3.691666666666667,3.6,3.308333333333333,3.4166666666666665,0.17799166970046273,0.21708624272765242,0.25086058774299047,0.15992095748737298,0.10754576678801912,0.19253302448473972,0.18198301044865156,0.1516196087157807
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",agreeableness,forgiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1083333333333334,3.066666666666667,3.1083333333333334,3.033333333333333,3.05,3.075,3.2666666666666666,3.25,0.19346359068191685,0.1728729518208802,0.14208019428898386,0.08643647591044007,0.10170952554312157,0.13374577015548106,0.13020761494054697,0.11371470653683537
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",agreeableness,gentleness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1083333333333334,3.175,3.1333333333333333,3.2583333333333333,3.2333333333333334,3.2416666666666667,3.2416666666666667,3.275,0.18198301044865153,0.11652289992484971,0.1572025562074641,0.12253312946339019,0.06342703292561558,0.04564354645876383,0.07996047874368649,0.13693063937629155
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",agreeableness,patience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425,3.4916666666666667,3.3333333333333335,3.4583333333333335,3.45,3.433333333333333,3.375,3.341666666666667,0.17555331246445172,0.04564354645876385,0.21104556352848902,0.27135780340956545,0.16609095970747995,0.13020761494054697,0.14308786786808475,0.167168783864843
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",altruism,altruism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,4.358333333333333,4.375,4.35,4.358333333333333,4.383333333333334,4.491666666666666,4.55,0.23381518391645364,0.2600011052142734,0.14308786786808475,0.15536386656646636,0.2244085457425783,0.15720255620746418,0.04564354645876383,0.13771534860493712
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",conscientiousness,diligence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6166666666666667,3.525,3.6416666666666666,3.675,3.7,3.675,3.85,3.9,0.1268540658512312,0.07628214415734116,0.18198301044865164,0.2192266973422402,0.15256428831468233,0.1489908583171094,0.21375138636372357,0.19253302448473975
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",conscientiousness,organization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.275,3.216666666666667,3.25,3.325,3.433333333333333,3.575,3.325,3.4833333333333334,0.13693063937629157,0.14283661593084146,0.1856953381770518,0.1874281471519889,0.2701638498154897,0.23807779082215672,0.1628146820457393,0.18491998891101677
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",conscientiousness,perfectionism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725,3.6333333333333333,3.95,3.925,3.65,3.6666666666666665,3.875,3.9166666666666665,0.18971394073800907,0.1428366159308415,0.12105854952787563,0.13374577015548106,0.16866616691580139,0.16522363806281673,0.18277081937167403,0.18952451089472586
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",conscientiousness,prudence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.825,3.55,3.0416666666666665,3.05,3.9833333333333334,3.9,3.283333333333333,3.2083333333333335,0.30193342495233655,0.28917242201699045,0.11528325934435353,0.13771534860493698,0.18491998891101682,0.22360679774997902,0.2520034664968654,0.22821773229381923
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",emotionality,anxiety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.9916666666666667,3.0,3.0083333333333333,2.9833333333333334,2.9583333333333335,3.1166666666666667,3.025,0.0,0.045643546458763846,0.0,0.045643546458763826,0.09128709291752765,0.09476225544736294,0.21509153357603822,0.10064447498411219
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",emotionality,dependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.225,3.1416666666666666,3.0416666666666665,3.05,3.191666666666667,3.25,3.1666666666666665,3.275,0.21121569299064222,0.21458995916564366,0.09476225544736293,0.10170952554312157,0.22440854574257824,0.2367160382369997,0.20057388927143854,0.18971394073800907
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",emotionality,fearfulness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,2.425,2.675,2.716666666666667,2.7083333333333335,2.5833333333333335,2.6,2.683333333333333,0.06565321642986126,0.2288464324720235,0.16281468204573926,0.08643647591044014,0.22821773229381925,0.2570835545556902,0.2508605877429905,0.20692049669866686
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",emotionality,sentimentality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1416666666666666,3.033333333333333,3.0166666666666666,3.0166666666666666,3.15,3.1166666666666667,2.9916666666666667,3.0083333333333333,0.14208019428898386,0.08643647591044011,0.09128709291752768,0.09128709291752767,0.22360679774997896,0.17036134686526497,0.045643546458763826,0.045643546458763846
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",extraversion,liveliness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425,3.283333333333333,3.225,3.375,3.5833333333333335,3.4166666666666665,3.441666666666667,3.4583333333333335,0.22884643247202355,0.08643647591044011,0.1897139407380091,0.17057205980525325,0.22102166118424604,0.21104556352848894,0.14208019428898386,0.09476225544736293
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",extraversion,sociability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.283333333333333,3.2416666666666667,3.1333333333333333,3.216666666666667,3.425,3.4,3.3833333333333333,3.325,0.2916461404928374,0.25833796807114207,0.2520034664968654,0.2150915335760382,0.18742814715198888,0.19253302448473958,0.2342756015279107,0.14899085831710948
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",extraversion,social boldness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,3.158333333333333,3.066666666666667,3.058333333333333,3.1416666666666666,3.216666666666667,3.3,3.25,0.21375138636372357,0.13901335419188388,0.14582307024641866,0.10754576678801907,0.1565155788948232,0.17036134686526505,0.23118883161188591,0.14680505487867582
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",extraversion,social self-esteem,0.0,0.15,0.0,0.0,0.0,0.09166666666666666,0.0,0.0,3.7083333333333335,3.6195333333333335,3.3666666666666667,3.225,3.5083333333333333,3.4720999999999997,3.4166666666666665,3.5,0.09476225544736293,0.18147646058683872,0.12685406585123127,0.1897139407380092,0.04564354645876382,0.13562457055390456,0.11986582537134603,0.0
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",honest-humility,fairness,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,5.258333333333334,5.425,5.308333333333334,4.966666666666667,5.2,5.241666666666666,5.283333333333333,5.316666666666666,0.04564354645876384,0.1165228999248498,0.16972763848109063,0.4032910588655786,0.10170952554312165,0.045643546458763874,0.1268540658512312,0.19622881319122518
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",honest-humility,greed-avoidance,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.5833333333333335,3.5083333333333333,3.45,3.408333333333333,3.675,3.533333333333333,3.3,3.2666666666666666,0.23056651868870712,0.2822579320938298,0.137715348604937,0.16716878386484293,0.27188676649131605,0.2520034664968654,0.23118883161188594,0.17287295182088017
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",honest-humility,modesty,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,3.5166666666666666,3.35,3.1083333333333334,3.216666666666667,3.558333333333333,3.525,3.2666666666666666,3.45,0.23610829387546217,0.24211709905575118,0.14208019428898386,0.15720255620746415,0.1819830104486516,0.17799166970046268,0.1458230702464187,0.12105854952787562
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",honest-humility,sincerity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.075,3.05,3.033333333333333,3.0833333333333335,3.5166666666666666,3.45,3.175,3.4166666666666665,0.133745770155481,0.1210585495278756,0.10854312136382618,0.17778975055468987,0.22679678482993407,0.22167077171896796,0.2469643280118505,0.24855906580811385
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",openness to experience,aesthetic appreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7666666666666666,3.6333333333333333,3.75,3.466666666666667,3.7666666666666666,3.691666666666667,3.675,3.3666666666666667,0.18491998891101677,0.17036134686526494,0.09284766908852592,0.2604152298810938,0.21708624272765237,0.2043000385392193,0.11652289992484977,0.19401978806534032
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",openness to experience,creativity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.283333333333333,3.3833333333333333,3.341666666666667,3.25,3.2666666666666666,3.45,3.6166666666666667,0.06565321642986126,0.08643647591044011,0.19401978806534018,0.15373697496459449,0.0,0.14582307024641866,0.2576418256899054,0.2520034664968655
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",openness to experience,inquisitiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3833333333333333,3.275,3.9166666666666665,3.4583333333333335,3.683333333333333,3.6416666666666666,3.425,3.325,0.2841603885779677,0.1779916697004627,0.22102166118424618,0.2282177322938192,0.23610829387546217,0.29127642201693654,0.2091650066335189,0.20916500663351892
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",openness to experience,unconventionality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.658333333333333,3.475,3.2333333333333334,3.683333333333333,3.55,2.975,3.125,0.20128894996822438,0.23196437498971217,0.12016511628760555,0.24506625892678047,0.21708624272765234,0.17859605741487675,0.2112156929906423,0.18277081937167403
