persona_id,question,answer
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I wouldn't spend my time reading a book of poetry.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I plan ahead and organize things, to avoid scrambling at the last minute.",Strongly Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"My attitude toward people who have treated me badly is ""forgive and forget"".",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I think that most people like some aspects of my personality.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I don’t mind doing jobs that involve dangerous work.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I enjoy looking at maps of different places.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I often push myself very hard when trying to achieve a goal.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I generally accept people’s faults without complaining about them.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"In social situations, I'm usually the one who makes the first move.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I worry a lot less than most people do.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I would be tempted to buy stolen property if I were financially tight.,Strongly Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"When working on something, I don't pay much attention to small details.",Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I am usually quite flexible in my opinions when people disagree with me.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I enjoy having lots of people around to talk with.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I can handle difficult situations without needing emotional support from anyone else.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I would like to live in a very expensive, high-class neighborhood.",Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I like people who have unconventional views.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I make a lot of mistakes because I don't think before I act.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I rarely feel anger, even when people treat me quite badly.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"On most days, I feel cheerful and optimistic.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"When someone I know well is unhappy, I can almost feel that person's pain myself.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I wouldn’t want people to treat me as though I were superior to them.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"If I had the opportunity, I would like to attend a classical music concert.",Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,People often joke with me about the messiness of my room or desk.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"If someone has cheated me once, I will always feel suspicious of that person.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I feel that I am an unpopular person.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"When it comes to physical danger, I am very fearful.",Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"If I want something from someone, I will laugh at that person's worst jokes.",Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I would be very bored by a book about the history of science and technology.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"Often when I set a goal, I end up quitting without having reached it.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I tend to be lenient in judging other people.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"When I'm in a group of people, I'm often the one who speaks on behalf of the group.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I would never accept a bribe, even if it were very large.",Strongly Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,People have often told me that I have a good imagination.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I always try to be accurate in my work, even at the expense of time.",Strongly Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"When people tell me that I’m wrong, my first reaction is to argue with them.",Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I prefer jobs that involve active social interaction to those that involve working alone.,Strongly Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"Whenever I feel worried about something, I want to share my concern with another person.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I would like to be seen driving around in a very expensive car.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I think of myself as a somewhat eccentric person.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I don’t allow my impulses to govern my behavior.,Strongly Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,Most people tend to get angry more quickly than I do.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,People often tell me that I should try to cheer up.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I feel strong emotions when someone close to me is going away for a long time.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I think that I am entitled to more respect than the average person is.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,Sometimes I like to just watch the wind as it blows through the trees.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"When working, I sometimes have difficulties due to being disorganized.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I find it hard to fully forgive someone who has done something mean to me.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I sometimes feel that I am a worthless person.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,Even in an emergency I wouldn't feel like panicking.,Strongly Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I wouldn't pretend to like someone just to get that person to do favors for me.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I’ve never really enjoyed looking through an encyclopedia.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I do only the minimum amount of work needed to get by.,Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"Even when people make a lot of mistakes, I rarely say anything negative.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I tend to feel quite self-conscious when speaking in front of a group of people.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I get very anxious when waiting to hear about an important decision.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I’d be tempted to use counterfeit money, if I were sure I could get away with it.",Strongly Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I don't think of myself as the artistic or creative type.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,People often call me a perfectionist.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I find it hard to compromise with people when I really think I’m right.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,The first thing that I always do in a new place is to make friends.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I rarely discuss my problems with other people.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I would get a lot of pleasure from owning expensive luxury goods.,Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I find it boring to discuss philosophy.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I prefer to do whatever comes to mind, rather than stick to a plan.",Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I find it hard to keep my temper when people insult me.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,Most people are more upbeat and dynamic than I generally am.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I remain unemotional even in situations where most people get very sentimental.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I want people to know that I am an important person of high status.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I have sympathy for people who are less fortunate than I am.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I try to give generously to those in need.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,It wouldn’t bother me to harm someone I didn’t like.,Strongly Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,People see me as a hard-hearted person.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I would be quite bored by a visit to an art gallery.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I clean my office or home quite frequently.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I rarely hold a grudge, even against people who have badly wronged me.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I feel reasonably satisfied with myself overall.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I would feel afraid if I had to travel in bad weather conditions.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"If I want something from a person I dislike, I will act very nicely toward that person in order to get it.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I'm interested in learning about the history and politics of other countries.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"When working, I often set ambitious goals for myself.",Strongly Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,People sometimes tell me that I am too critical of others.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I rarely express my opinions in group meetings.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I sometimes can't help worrying about little things.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"If I knew that I could never get caught, I would be willing to steal a million dollars.",Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I would like a job that requires following a routine rather than being creative.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I often check my work over repeatedly to find any mistakes.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,People sometimes tell me that I'm too stubborn.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I avoid making ""small talk"" with people.",Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"When I suffer from a painful experience, I need someone to make me feel comfortable.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,Having a lot of money is not especially important to me.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I think that paying attention to radical ideas is a waste of time.,Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I make decisions based on the feeling of the moment rather than on careful thought.,Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,People think of me as someone who has a quick temper.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I am energetic nearly all the time.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I feel like crying when I see other people crying.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I am an ordinary person who is no better than others.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I wouldn't spend my time reading a book of poetry.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I plan ahead and organize things, to avoid scrambling at the last minute.",Strongly Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"My attitude toward people who have treated me badly is ""forgive and forget"".",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I think that most people like some aspects of my personality.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I don’t mind doing jobs that involve dangerous work.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I enjoy looking at maps of different places.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I often push myself very hard when trying to achieve a goal.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I generally accept people’s faults without complaining about them.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"In social situations, I'm usually the one who makes the first move.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I worry a lot less than most people do.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I would be tempted to buy stolen property if I were financially tight.,Strongly Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"When working on something, I don't pay much attention to small details.",Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I am usually quite flexible in my opinions when people disagree with me.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I enjoy having lots of people around to talk with.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I can handle difficult situations without needing emotional support from anyone else.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I would like to live in a very expensive, high-class neighborhood.",Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I like people who have unconventional views.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I make a lot of mistakes because I don't think before I act.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I rarely feel anger, even when people treat me quite badly.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"On most days, I feel cheerful and optimistic.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"When someone I know well is unhappy, I can almost feel that person's pain myself.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I wouldn’t want people to treat me as though I were superior to them.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"If I had the opportunity, I would like to attend a classical music concert.",Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,People often joke with me about the messiness of my room or desk.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"If someone has cheated me once, I will always feel suspicious of that person.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I feel that I am an unpopular person.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"When it comes to physical danger, I am very fearful.",Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"If I want something from someone, I will laugh at that person's worst jokes.",Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I would be very bored by a book about the history of science and technology.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"Often when I set a goal, I end up quitting without having reached it.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I tend to be lenient in judging other people.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"When I'm in a group of people, I'm often the one who speaks on behalf of the group.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I would never accept a bribe, even if it were very large.",Strongly Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,People have often told me that I have a good imagination.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I always try to be accurate in my work, even at the expense of time.",Strongly Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"When people tell me that I’m wrong, my first reaction is to argue with them.",Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I prefer jobs that involve active social interaction to those that involve working alone.,Strongly Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"Whenever I feel worried about something, I want to share my concern with another person.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I would like to be seen driving around in a very expensive car.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I think of myself as a somewhat eccentric person.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I don’t allow my impulses to govern my behavior.,Strongly Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,Most people tend to get angry more quickly than I do.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,People often tell me that I should try to cheer up.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I feel strong emotions when someone close to me is going away for a long time.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I think that I am entitled to more respect than the average person is.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,Sometimes I like to just watch the wind as it blows through the trees.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"When working, I sometimes have difficulties due to being disorganized.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I find it hard to fully forgive someone who has done something mean to me.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I sometimes feel that I am a worthless person.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,Even in an emergency I wouldn't feel like panicking.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I wouldn't pretend to like someone just to get that person to do favors for me.,Strongly Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I’ve never really enjoyed looking through an encyclopedia.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I do only the minimum amount of work needed to get by.,Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"Even when people make a lot of mistakes, I rarely say anything negative.",Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I tend to feel quite self-conscious when speaking in front of a group of people.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I get very anxious when waiting to hear about an important decision.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I’d be tempted to use counterfeit money, if I were sure I could get away with it.",Strongly Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I don't think of myself as the artistic or creative type.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,People often call me a perfectionist.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I find it hard to compromise with people when I really think I’m right.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,The first thing that I always do in a new place is to make friends.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I rarely discuss my problems with other people.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I would get a lot of pleasure from owning expensive luxury goods.,Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I find it boring to discuss philosophy.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,"I prefer to do whatever comes to mind, rather than stick to a plan.",Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I find it hard to keep my temper when people insult me.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,Most people are more upbeat and dynamic than I generally am.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I remain unemotional even in situations where most people get very sentimental.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I want people to know that I am an important person of high status.,Neutral
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I have sympathy for people who are less fortunate than I am.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,I try to give generously to those in need.,Agree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,It wouldn’t bother me to harm someone I didn’t like.,Strongly Disagree
1f29ab95-8460-4c0a-aed1-c01d0455d8a2,People see me as a hard-hearted person.,Neutral
4b382861-4343-449e-b30b-a3ac946760d4,I would be quite bored by a visit to an art gallery.,Neutral
4b382861-4343-449e-b30b-a3ac946760d4,I clean my office or home quite frequently.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"I rarely hold a grudge, even against people who have badly wronged me.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,I feel reasonably satisfied with myself overall.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I would feel afraid if I had to travel in bad weather conditions.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"If I want something from a person I dislike, I will act very nicely toward that person in order to get it.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,I'm interested in learning about the history and politics of other countries.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"When working, I often set ambitious goals for myself.",Strongly Agree
4b382861-4343-449e-b30b-a3ac946760d4,People sometimes tell me that I am too critical of others.,Neutral
4b382861-4343-449e-b30b-a3ac946760d4,I rarely express my opinions in group meetings.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I sometimes can't help worrying about little things.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"If I knew that I could never get caught, I would be willing to steal a million dollars.",Disagree
4b382861-4343-449e-b30b-a3ac946760d4,I would like a job that requires following a routine rather than being creative.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I often check my work over repeatedly to find any mistakes.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,People sometimes tell me that I'm too stubborn.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"I avoid making ""small talk"" with people.",Neutral
4b382861-4343-449e-b30b-a3ac946760d4,"When I suffer from a painful experience, I need someone to make me feel comfortable.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,Having a lot of money is not especially important to me.,Neutral
4b382861-4343-449e-b30b-a3ac946760d4,I think that paying attention to radical ideas is a waste of time.,Disagree
4b382861-4343-449e-b30b-a3ac946760d4,I make decisions based on the feeling of the moment rather than on careful thought.,Disagree
4b382861-4343-449e-b30b-a3ac946760d4,People think of me as someone who has a quick temper.,Neutral
4b382861-4343-449e-b30b-a3ac946760d4,I am energetic nearly all the time.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I feel like crying when I see other people crying.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I am an ordinary person who is no better than others.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I wouldn't spend my time reading a book of poetry.,Neutral
4b382861-4343-449e-b30b-a3ac946760d4,"I plan ahead and organize things, to avoid scrambling at the last minute.",Strongly Agree
4b382861-4343-449e-b30b-a3ac946760d4,"My attitude toward people who have treated me badly is ""forgive and forget"".",Agree
4b382861-4343-449e-b30b-a3ac946760d4,I think that most people like some aspects of my personality.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I don’t mind doing jobs that involve dangerous work.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,I enjoy looking at maps of different places.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I often push myself very hard when trying to achieve a goal.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I generally accept people’s faults without complaining about them.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"In social situations, I'm usually the one who makes the first move.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,I worry a lot less than most people do.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I would be tempted to buy stolen property if I were financially tight.,Strongly Disagree
4b382861-4343-449e-b30b-a3ac946760d4,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,"When working on something, I don't pay much attention to small details.",Disagree
4b382861-4343-449e-b30b-a3ac946760d4,I am usually quite flexible in my opinions when people disagree with me.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I enjoy having lots of people around to talk with.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I can handle difficult situations without needing emotional support from anyone else.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"I would like to live in a very expensive, high-class neighborhood.",Neutral
4b382861-4343-449e-b30b-a3ac946760d4,I like people who have unconventional views.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,I make a lot of mistakes because I don't think before I act.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"I rarely feel anger, even when people treat me quite badly.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,"On most days, I feel cheerful and optimistic.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,"When someone I know well is unhappy, I can almost feel that person's pain myself.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,I wouldn’t want people to treat me as though I were superior to them.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"If I had the opportunity, I would like to attend a classical music concert.",Neutral
4b382861-4343-449e-b30b-a3ac946760d4,People often joke with me about the messiness of my room or desk.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"If someone has cheated me once, I will always feel suspicious of that person.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,I feel that I am an unpopular person.,Neutral
4b382861-4343-449e-b30b-a3ac946760d4,"When it comes to physical danger, I am very fearful.",Disagree
4b382861-4343-449e-b30b-a3ac946760d4,"If I want something from someone, I will laugh at that person's worst jokes.",Neutral
4b382861-4343-449e-b30b-a3ac946760d4,I would be very bored by a book about the history of science and technology.,Neutral
4b382861-4343-449e-b30b-a3ac946760d4,"Often when I set a goal, I end up quitting without having reached it.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,I tend to be lenient in judging other people.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"When I'm in a group of people, I'm often the one who speaks on behalf of the group.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",Agree
4b382861-4343-449e-b30b-a3ac946760d4,"I would never accept a bribe, even if it were very large.",Strongly Agree
4b382861-4343-449e-b30b-a3ac946760d4,People have often told me that I have a good imagination.,Agree
4b382861-4343-449e-b30b-a3ac946760d4,"I always try to be accurate in my work, even at the expense of time.",Strongly Agree
4b382861-4343-449e-b30b-a3ac946760d4,"When people tell me that I’m wrong, my first reaction is to argue with them.",Neutral
4b382861-4343-449e-b30b-a3ac946760d4,I prefer jobs that involve active social interaction to those that involve working alone.,Strongly Agree
