,,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std
base_model,emotionality,anxiety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.925,2.9833333333333334,3.0,3.0416666666666665,2.975,2.9916666666666667,2.95,3.075,0.19859419722744617,0.18491998891101677,0.1608168802256692,0.16192981309140111,0.07628214415734118,0.16716878386484293,0.15256428831468236,0.17555331246445166
base_model,emotionality,dependence,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,3.1333333333333333,3.1083333333333334,3.025,3.05,3.1166666666666667,3.2,3.183333333333333,3.225,0.19401978806534023,0.1420801942889839,0.10064447498411222,0.12105854952787563,0.15720255620746415,0.1525642883146824,0.15992095748737298,0.13693063937629152
base_model,emotionality,fearfulness,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,3.025,3.0166666666666666,3.15,3.0833333333333335,3.0416666666666665,3.0083333333333333,3.1416666666666666,3.1416666666666666,0.16544089474846416,0.14582307024641863,0.16866616691580136,0.16522363806281665,0.1152832593443535,0.12253312946339023,0.12600173324843275,0.12600173324843275
base_model,emotionality,sentimentality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.033333333333333,3.1666666666666665,3.225,3.2083333333333335,3.058333333333333,3.2,3.225,3.158333333333333,0.0864364759104401,0.13666806839763349,0.07628214415734116,0.11528325934435357,0.1075457667880191,0.1210585495278756,0.10064447498411223,0.12253312946339022
base_model,extraversion,liveliness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.433333333333333,3.4833333333333334,3.4583333333333335,3.525,3.4583333333333335,3.45,3.4583333333333335,3.4916666666666667,0.18491998891101677,0.18491998891101677,0.14802337497919,0.10064447498411218,0.16192981309140114,0.15256428831468236,0.1747329653940615,0.10346024834933339
base_model,extraversion,sociability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.158333333333333,3.1083333333333334,2.9916666666666667,2.9,3.2416666666666667,3.216666666666667,3.0166666666666666,3.0416666666666665,0.16716878386484293,0.15651557889482312,0.22247949666605601,0.15536386656646634,0.10346024834933343,0.1268540658512313,0.19622881319122526,0.19786939846922946
base_model,extraversion,social boldness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,3.091666666666667,3.175,3.1,3.1,3.191666666666667,3.2583333333333333,3.216666666666667,0.16609095970747995,0.13901335419188393,0.1628146820457392,0.1408104619937615,0.22360679774997896,0.2043000385392192,0.16716878386484293,0.19401978806534023
base_model,extraversion,social self-esteem,0.008333333333333333,0.13333333333333333,0.0,0.0,0.008333333333333333,0.03333333333333333,0.0,0.0,3.4777666666666667,3.4526,3.4166666666666665,3.433333333333333,3.4277666666666664,3.4111,3.1333333333333333,3.3583333333333334,0.06899759282824258,0.15439773984409724,0.1366680683976335,0.11244411127720084,0.113161368860132,0.16513241290886374,0.17036134686526494,0.142080194288984
base_model,honest-humility,fairness,0.0,0.225,0.0,0.49166666666666664,0.0,0.26666666666666666,0.0,0.4583333333333333,4.983333333333333,3.7279,4.675,2.983366666666667,4.725,3.6305666666666667,4.691666666666666,3.1611666666666665,0.09128709291752765,0.9890369174797932,0.19859419722744645,0.561099443109215,0.17799166970046276,0.8664204873613851,0.19346359068191674,0.5895931433731602
base_model,honest-humility,greed-avoidance,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,3.15,3.0833333333333335,2.925,2.933333333333333,2.9833333333333334,3.0861,2.825,2.925,0.16866616691580144,0.16522363806281665,0.1489908583171094,0.1458230702464187,0.17287295182088022,0.22368332757378828,0.18742814715198888,0.18742814715198872
base_model,honest-humility,modesty,0.0,0.008333333333333333,0.0,0.008333333333333333,0.0,0.025,0.0,0.0,2.9916666666666667,3.1,3.275,3.2777666666666665,3.1416666666666666,3.094466666666667,3.283333333333333,3.2416666666666667,0.24107636983320047,0.19253302448473963,0.07628214415734118,0.1205246242784903,0.12600173324843278,0.20376283261189462,0.10854312136382616,0.07996047874368649
base_model,honest-humility,sincerity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3583333333333334,3.375,3.2416666666666667,3.158333333333333,3.4583333333333335,3.341666666666667,3.158333333333333,3.2333333333333334,0.1819830104486516,0.19420483320808302,0.21257182694137855,0.15373697496459454,0.22821773229381923,0.1537369749645946,0.16716878386484293,0.1962288131912253
base_model,openness to experience,aesthetic appreciation,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,3.4444333333333335,3.5166666666666666,3.325,3.4583333333333335,3.5083333333333333,3.4916666666666667,3.2416666666666667,3.3444333333333334,0.17958374923279036,0.09128709291752768,0.23807779082215674,0.14802337497918996,0.1034602483493334,0.07996047874368646,0.26654990259745476,0.1787754676013797
base_model,openness to experience,creativity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.2416666666666667,3.5166666666666666,3.5083333333333333,3.2416666666666667,3.25,3.55,3.558333333333333,0.09284766908852592,0.045643546458763846,0.17287295182088022,0.13901335419188382,0.07996047874368649,0.06565321642986123,0.15256428831468233,0.12600173324843275
base_model,openness to experience,inquisitiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,3.191666666666667,3.35,3.191666666666667,3.2416666666666667,3.6666666666666665,3.4916666666666667,3.3833333333333333,3.4527666666666668,0.21458995916564366,0.19253302448473972,0.19346359068191685,0.16716878386484296,0.16522363806281676,0.19122262406426438,0.22488822255440188,0.2095528380958439
base_model,openness to experience,unconventionality,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,3.4027666666666665,3.6139,3.05,3.1333333333333333,3.5083333333333333,3.544433333333333,2.9166666666666665,3.091666666666667,0.19089258278131066,0.2361467033799993,0.13771534860493692,0.18257418583505536,0.16716878386484296,0.1827622694279013,0.13666806839763349,0.17959885057103447
